sessionID;TotalTimeHH;TotalTimeDD;CaseLength
BZbykN3ZrFLkqdP7nykFiwdstcfRiLOg9ckdz4loysawz9gWMigRF713bUOh7h717m8KRvuO7A9snIu3naE24tyefRDgjNdBxFzoMLNEOJk6SJBJsklO6L6pM81Oxs8QYJOLg2gk4KPVPWLbfuzObl;0.0;0.0;1
Bbg1l7g0e2E6kjqPRvdrz0NOW0ogfimCuAVzXScOGDr0qk0zSBiGcsD1Yy2NpXeWd2dnaBe8GfE7vYGo4Fo1dr73ZcAyWJ2h1ZZkKIbLEy5lHk6NrHti06PxMdfDYCPkC1UQiFERZHjJF58V2HMQn0;0.0;0.0;1
BcXviGTfyPSSlL3NrGOqa0U5DbsJOvGbgxOH43WLKejaeLnN3WGq4MG50sBVgqajlVS6E35608hkkZWjkZzjcSXcTtIaoNU8OXvt7GuBpsKmtGgWhlDZx5ADeIVRb8PpVVoWKPKii7J4YmKbdIuCX6;0.0;0.0;1
Bie6ZWdtLnLPUKih5Gs7SpaxLx0GysDvkJwHHrDxX95eCnAZZmSU7afdvUJLpcHudEYgE8KhGgizqHZ6oNNGP0ukQwoP89DFXTRhw2z7qTrVLwl090W0I86yBM9ahHhFOvxqvXrjcI7bV8oqxi8yEo;0.0;0.0;1
BsZ46fKEwUPjP03Fl5NwU8CBBx0fm6zw1NQZRjBF4bNQVnEt1aRChZSindYtBPIT5o7bGmdvuS4Au0AZkeUxDhcVQRfo92awm6DgNyjTsRVrU3aVxXGO32JDyEU3xcviCnvyVCwPPikE62GEJwxOVk;0.0;0.0;1
BsesrMjqPhxuLb8SPnIKiKBc2W5MRDpEBVFb73A9FGta1baVvQt8SoXyLeGNhAP09wOjXpf5i7DAC8qUQ8z4roDtHd6oWcXWCPxzUV7bj36aJw2AoxEOkvN5yJkQ4JJtzK6hoZ1OfNTYpcDLPM9vlL;0.0;0.0;1
CASZeTqzYqWyai6wQg8bzGcHyKQ7ukkWb38mgdJJzFsI59jzYJ4MOtQIPPTDCZr6XQE3xG0keOF4i9sRIGDqPua9uj0IzJkXdkqpJ8x5d4Y0LM1gDmV3AZzCbQdvACaN3ILl4cBuNb0g7eE2TzBqdH;0.0;0.0;1
CHUHELD0dDuFXJVpSsni5WRGkmi5EEAUuNmuR40ILZtWbKwgLjCmiNzUUbzyAUG3qFUYJl9qIELD1cqlbpoA6pu7QIWuidXeG9gWfYD3wy4iBeMa9Q5GfqfGeeBGw0p6B6mX6830Y24u3WnCXvExJD;0.0;0.0;1
CMeFrZPHreQQe1FVj2o0siSgGMF6AKti2jptlFjpdqMsVk8tNftHLSIIx4iPFdWUTueoZBQLb0nXyLLIDQFBxPr3IQm9UdKImAk6T1j6xKZAmopOrYT9Oo33TigsXSPC6DEm4QMC4biaDHOajnpakB;0.0;0.0;1
CPrRixSCzQcIHCSVRXZGEEpWnryJcaHonOctLiqUHfSDb3iqsUgiUyWvO7vIlbmS8H2y8vPjWiPK9jsyX3YrFLLODnBJtPHjtUkavIJOMSePNqWTw5x2QHjC5oK2dFB2Ftgu0U3PkMfNCj0oViQJfC;0.0;0.0;1
